"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Tradenames","Manufacturers","Publisher","Sponsors","Conference name","Conference date","Conference location","Conference code","Language of Original Document","Document Type","Publication Stage","Open Access","Source","EID"
"Fan, Y.; Guo, Y.; An, Y.; Zhao, F.; Zhang, X.; Wu, G.","Fan, Yihan (58155762600); Guo, Yujun (56066184300); An, Yaya (58397454100); Zhao, Fuping (58041983100); Zhang, Xueqin (56909349600); Wu, Guangning (9250681900)","58155762600; 56066184300; 58397454100; 58041983100; 56909349600; 9250681900","An Evaluation Method of Insulator Aging Grade Based on Extreme Learning Machine","2023","Proceedings - 2023 Panda Forum on Power and Energy, PandaFPE 2023","","","","1248","1252","0","10.1109/PandaFPE57779.2023.10140565","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163307543&doi=10.1109%2FPandaFPE57779.2023.10140565&partnerID=40&md5=fd455ead5d3297b14925868a03c48573","As an important part of the power grid, insulators play a role in isolating and protecting the power system. During the operation of the power grid, insulators on the line are prone to corona aging due to environmental factors such as electric field strength. Insulator aging will lead to grid failures, outages, and other problems. For the corona aging detection of insulators, the traditional methods are usually tedious, therefore, this paper proposes an approach for evaluating the aging grade of insulators, which involves the use of hyperspectral detection technology based on a limit learning machine. The primary objective of this approach is to address the corona aging problem associated with insulators. In this paper, firstly, corona aging of silicone rubber sheet was carried out from 0 to 300 hours, then the spectral data of silicone rubber sheet samples were obtained using a handheld hyperspectral camera, and finally, the limit learning machine model was established to realize the evaluation of different aging grades of the silicone rubber sheet with an accuracy of 94%. The hyperspectral testing technology can achieve non-contact and high-accuracy insulator performance assessment, which reduces the operational complexity and improves the economic efficiency of the power system compared with the traditional methods and helps to guarantee the normal and stable operation of the power system. © 2023 IEEE.","aging grade; corona aging; extreme learning machine; Hyperspectral technology; insulators","Electric fields; Electric insulators; Electric lines; Knowledge acquisition; Machine learning; Rubber; Aging grade; Corona aging; Extreme learning machine; HyperSpectral; Hyperspectral technology; Insulator; Learning machines; Power; Power grids; Silicone rubber sheets; Silicones","","","Institute of Electrical and Electronics Engineers Inc.","Chongqing Society of Electrical Engineering; Sichuan University; Southwest Jiaotong University; State Grid Sichuan Electric Power Company","2023 Panda Forum on Power and Energy, PandaFPE 2023","2023-04-27 through 2023-04-30","Chengdu","189332","English","Conference paper","Final","","Scopus","2-s2.0-85163307543"
"Ceccarelli, M.","Ceccarelli, Marco M. (7102783688)","7102783688","Mechanism Design for Robot in Italy: Historical Backgrounds, Achievements, and Challenges","2023","Mechanisms and Machine Science","124 MMS","","","7","11","0","10.1007/978-3-031-29815-8_1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161391795&doi=10.1007%2F978-3-031-29815-8_1&partnerID=40&md5=bc63487a4fdd1e121653c2c150623fbc","In the lecture past and modern achievements and results in Robot Design are presented through significant examples in order to stress the variety of solutions and creativity that the Italian community has provided and still provides in terms of theory and practice of technological developments as well as in terms of knowledge acquisition and formation of next generations. © 2023, The Author(s), under exclusive license to Springer Nature Switzerland AG.","History of MMS; History of Robotics; Italian Distinguished Figures; Mechanism Design; Robot Design","Robots; Historical background; History of MMS; History of robotic; Italian distinguished figure; Mechanism design; Robot designs; Technological development; Theory and practice; Machine design","","","Springer Science and Business Media B.V.","","6th IFToMM International Conference on Mechanisms, Transmissions, and Applications, MeTrApp 2023","2023-05-24 through 2023-05-26","Poitiers","293609","English","Conference paper","Final","","Scopus","2-s2.0-85161391795"
"Liu, X.; Wang, Y.; Wang, X.; Geng, J.","Liu, Xiaozheng (58260822700); Wang, Yue (59655145500); Wang, Xiaofei (57193431380); Geng, Jian (57205880279)","58260822700; 59655145500; 57193431380; 57205880279","A Method for Wireless Communication Interference Signal Identification Based on Extreme Learning Machine","2023","Proceedings of SPIE - The International Society for Optical Engineering","12566","","125662K","","","0","10.1117/12.2667713","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159702149&doi=10.1117%2F12.2667713&partnerID=40&md5=9a54f9a4f570895b5300392cce744086","Intelligent anti-jam communication is a new generation of anti-interference technology combined with artificial intelligence, and the identification of interference signals is the basis of the technology. It is required to achieve better identification results with lower computational complexity in engineering applications. However, previous research has shown that they cannot balance these two sides. Here, we report an interference signal identification algorithm based on Extreme Learning Machine (ELM). Five typical oppressive interference signals were recognized based on ELM which is based on feature extraction. The overall correct identification rate is more than 96% under the condition of 40 neurons in a single hidden layer, and it has certain generalization ability. This study objectively promotes the engineering application of this technology. © 2023 SPIE.","ELM; interference identification; neural network","Engineering education; Knowledge acquisition; Machine learning; Anti-jam; Communication interferences; Engineering applications; Extreme learning machine; Interference identifications; Interference signal; Learning machines; Neural-networks; Signal identification; Wireless communications; Signal interference","","","SPIE","Academic Exchange Information Centre (AEIC); Chongqing Engineering Research Centre for Computer Vision Intelligence Technology; School of Artificial Intelligence","5th International Conference on Computer Information Science and Artificial Intelligence, CISAI 2022","2022-09-16 through 2022-09-18","Chongqing","188133","English","Conference paper","Final","","Scopus","2-s2.0-85159702149"
"Wang, Q.; Lin, H.","Wang, Qiang (57199479646); Lin, Hekai (58185168000)","57199479646; 58185168000","Ultra-short-term PV power prediction using optimal ELM and improved variational mode decomposition","2023","Frontiers in Energy Research","11","","1140443","","","14","10.3389/fenrg.2023.1140443","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152628739&doi=10.3389%2Ffenrg.2023.1140443&partnerID=40&md5=35cc0fcff8315f431b25596ed17a0c36","The development of photovoltaic (PV) power forecast technology that is accurate is of utmost importance for ensuring the reliability and cost-effective functioning of the power system. However, meteorological factors make solar energy have strong intermittent and random fluctuation characteristics, which brings challenges to photovoltaic power prediction. This work proposes, a new ultra-short-term PV power prediction technology using an improved sparrow search algorithm (ISSA) to optimize the key parameters of variational mode decomposition (VMD) and extreme learning machine (ELM). ISSA’s global search capability is enhanced by levy flight and logical chaotic mapping to search the optimal number of decomposition and penalty factor of VMD, and VMD adaptively decomposes PV power into sub-sequences with different center frequencies. Then ISSA is used to optimize the initial weight and threshold of ELM to improve the prediction performance of ELM, the optimized ELM predicts each subsequence and reconstructs the prediction results of each component to obtain the final result. Furthermore, isolated forest (IF) and Spearman correlation coefficient (SCC) are respectively used in the data preprocessing stage to eliminate outliers in the original data and determine appropriate input features. The prediction results using the actual data of solar power plants show that the proposed model can effectively mine the key information in the historical data to make more accurate predictions, and has good robustness to various weather conditions. © © 2023 Wang and Lin.","extreme learning machine; improved sparrow search algorithm; intelligent PV power prediction; machine learning; variational mode decomposition","Cost effectiveness; Knowledge acquisition; Learning algorithms; Machine learning; Solar energy; Solar energy conversion; Solar power generation; Solar power plants; Cost effective; Extreme learning machine; Improved sparrow search algorithm; Intelligent photovoltaic power prediction; Learning machines; Machine-learning; Photovoltaic power; Power forecast; Power predictions; Search Algorithms; Variational mode decomposition","","","Frontiers Media S.A.","","","","","","English","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85152628739"
"Al-Hodiany, Z.M.","Al-Hodiany, Zakarya Mohsen (57257977400)","57257977400","Review on the Social Media Management Techniques Against Kids Harmful Information","2023","Studies in Computational Intelligence","1080","","","51","67","0","10.1007/978-3-031-21199-7_4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152460913&doi=10.1007%2F978-3-031-21199-7_4&partnerID=40&md5=8b693270aed2727cf7e0b62202f9e46f","The world is developing quickly, and new technological innovations are emerging like grotesque critters. Social media is one of the most powerful forces available to modern generation so, the ability of man to freely communicate his opinions on the internet cannot be ignored. The majority of people in our world are still unaware that social media is now considered to be not just something that adults use but also something that youngsters and kids must use. The information must then be screened to ensure that it doesn’t negatively affect human cognition in any manner and to make the internet a safer place for everyone. People disseminate inaccurate information or inappropriate content to attract fans on various sites; they disseminate damaging information or improper material, such as violent photographs and videos, irrelevant or abusive material, sexual content, cyberbullying, etc. There are several methods available, some of which have been detailed below, to detect this hazardous material. Through several databases, information from earlier work in this field has been gathered to know the prior studies concerning this notion. Numerous techniques, including deep learning and machine learning algorithms, have been chosen as the finest alternatives. This chapter gives a review on the existing methods and the management’s tool on the kid’s cyber security and one may learn from this Chapter how to improve knowledge acquisition in the digital age. Finally, this Chapter examines the challenges that come up while endeavoring to detect the harmful information that has been affecting kids’ minds. And it would be helpful regarding the main concept of algorithm involved in content analysis in addition; this chapter will be beneficial to many researchers in area on kids’ cyber security. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2023.","Artificial intelligence; Content classification; Cybersecurity; Deep learning; Harmful information; Machine learning; Social networking management; Social networks","","","","Springer Science and Business Media Deutschland GmbH","","","","","","English","Book chapter","Final","","Scopus","2-s2.0-85152460913"
"Quialheiro, A.; Miranda, A.; Garcia, M.; de Carvalho, A.C.; Costa, P.; Correia-Neves, M.; Santos, N.C.","Quialheiro, Anna (57219935452); Miranda, André Miguel (56588497400); Garcia, Miguel (58121920100); de Carvalho, Adriana Camargo (57801873200); Costa, Patrício Soares (49460913600); Correia-Neves, M. (6508241001); Santos, Nadine Correia (49664253000)","57219935452; 56588497400; 58121920100; 57801873200; 49460913600; 6508241001; 49664253000","Promoting Digital Proficiency and Health Literacy in Middle-aged and Older Adults Through Mobile Devices With the Workshops for Online Technological Inclusion (OITO) Project: Experimental Study","2023","JMIR Formative Research","7","","e41873","","","20","10.2196/41873","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149151975&doi=10.2196%2F41873&partnerID=40&md5=d05698dd439d448cd69dac80d5cd049e","Background: Digital inclusion and literacy facilitate access to health information and can contribute to self-care behaviors and informed decision-making. However, digital literacy is not an innate skill, but rather requires knowledge acquisition. Objective: The present study aimed to develop, conduct, and measure the impact, on digital and health literacy, of a digital inclusion program aimed at community dwellers. Methods: The program targeted the recruitment of people aged 55 and older that owned mobile devices with an internet connection in 3 cities in northern Portugal (Paredes de Coura, Guimarães, and Barcelos). The program was titled the Workshops for Online Technological Inclusion (OITO) project and, in each city, was promoted by the coordinator of municipal projects and organized as an in-person 8-workshop program, using mobile devices, smartphones, or tablets. A quasi-experimental design was used with a nonrandomized allocation of participants in each set of 8 workshops. Sociodemographic, health status, and mobile use information were collected at baseline. Digital and health literacy were measured via the Mobile Device Proficiency Questionnaire and the Health Literacy Scale questionnaires, respectively, at baseline (T1), program completion (T2), and a 1-month follow-up (T3). A self-reported measure of autonomy was evaluated at T1 and T2 using a visual scale. Results: Most participants were women with primary schooling (up to 4 years) aged between 65 and 74 years and retired. The intervention had an 81% (97/120) recruitment rate, 53% (43/81) adherence, and 94% (67/71) satisfaction rate, with 81 participants completing the entire 8-workshop program. Most participants had owned their mobile device for more than one year (64/81, 79%), were frequent daily users (70/81, 86%), and had received their mobile device from someone else (33/64, 52%). Over 80% (71/81) of the participants who completed the intervention used Android smartphones. At baseline, participants had low baseline scores in digital literacy, but medium-high baseline scores in health literacy. They showed significant improvement in digital literacy at T2 and T3 compared to T1, but without a significant difference between T2 and T3, regardless of sex, age, or schooling. A significant improvement in self-reported autonomy was observed at T3 compared with baseline. Regarding health literacy, no significant differences were found at T2 or T3 compared to the baseline. Conclusions: The feasibility indicators showed that the OITO project methodology had a substantial rate of recruitment and satisfaction. Program participants had significant improvement in digital literacy after 8 workshops and maintained their score 1 month after completing the intervention. There was no significant change in health literacy during the project period. © 2023 Authors. All rights reserved.","digital proficiency; health literacy; mobile devices; older adults","","","","JMIR Publications Inc.","","","","","","English","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85149151975"
"","","","7th Future Technologies Conference, FTC 2022","2023","Lecture Notes in Networks and Systems","560 LNNS","","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142010210&partnerID=40&md5=a26bc6188e6a462eccb36ea38f432468","The proceedings contain 180 papers. The special focus in this conference is on Future Technologies. The topics include: Pre-trained CNN Based SVM Classifier for Weld Joint Type Recognition; A Two-Stage Federated Transfer Learning Framework in Medical Images Classification on Limited Data: A COVID-19 Case Study; Graph Emotion Distribution Learning Using EmotionGCN; on the Role of Depth Predictions for 3D Human Pose Estimation; AI-Based QOS/QOE Framework for Multimedia Systems; snatch Theft Detection Using Deep Learning Models; deep Learning and Few-Shot Learning in the Detection of Skin Cancer: An Overview; enhancing Artificial Intelligence Control Mechanisms: Current Practices, Real Life Applications and Future Views; Face Generation from Skull Photo Using GAN and 3D Face Models; a General Framework of Particle Swarm Optimization; how Artificial Intelligence and Videogames Drive Each Other Forward; bezier Curve-Based Shape Knowledge Acquisition and Fusion for Surrogate Model Construction; Path Planning and Landing for Unmanned Aerial Vehicles Using AI; digital Ticketing System for Public Transport in Mexico to Avoid Cases of Contagion Using Artificial Intelligence; To the Question of the Practical Implementation of “Digital Immortality” Technologies: New Approaches to the Creation of AI; collaborative Forecasting Using “Slider-Swarms” Improves Probabilistic Accuracy; learning to Solve Sequential Planning Problems Without Rewards; systemic Analysis of Democracies and Concept of Their Further Human-Technological Development; using Regression and Algorithms in Artificial Intelligence to Predict the Price of Bitcoin; exploring Deep Learning in Road Traffic Accident Recognition for Roadside Sensing Technologies; integration of Human-Driven and Autonomous Vehicle: A Cell Reservation Intersection Control Strategy; equivalence Between Classical Epidemic Model and Quantum Tight-Binding Model; effects of Various Barricades on Human Crowd Movement Flow; the Classical Logic and the Continuous Logic; editor’s Preface.","","","","","Springer Science and Business Media Deutschland GmbH","","7th Future Technologies Conference, FTC 2022","2022-10-20 through 2022-10-21","Vancouver","285189","English","Conference review","Final","","Scopus","2-s2.0-85142010210"
"","","","7th Future Technologies Conference, FTC 2022","2023","Lecture Notes in Networks and Systems","561 LNNS","","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142006554&partnerID=40&md5=3a0b453d2bd504c8fd6561f68d8ac78e","The proceedings contain 180 papers. The special focus in this conference is on Future Technologies. The topics include: Pre-trained CNN Based SVM Classifier for Weld Joint Type Recognition; A Two-Stage Federated Transfer Learning Framework in Medical Images Classification on Limited Data: A COVID-19 Case Study; Graph Emotion Distribution Learning Using EmotionGCN; on the Role of Depth Predictions for 3D Human Pose Estimation; AI-Based QOS/QOE Framework for Multimedia Systems; snatch Theft Detection Using Deep Learning Models; deep Learning and Few-Shot Learning in the Detection of Skin Cancer: An Overview; enhancing Artificial Intelligence Control Mechanisms: Current Practices, Real Life Applications and Future Views; Face Generation from Skull Photo Using GAN and 3D Face Models; a General Framework of Particle Swarm Optimization; how Artificial Intelligence and Videogames Drive Each Other Forward; bezier Curve-Based Shape Knowledge Acquisition and Fusion for Surrogate Model Construction; Path Planning and Landing for Unmanned Aerial Vehicles Using AI; digital Ticketing System for Public Transport in Mexico to Avoid Cases of Contagion Using Artificial Intelligence; To the Question of the Practical Implementation of “Digital Immortality” Technologies: New Approaches to the Creation of AI; collaborative Forecasting Using “Slider-Swarms” Improves Probabilistic Accuracy; learning to Solve Sequential Planning Problems Without Rewards; systemic Analysis of Democracies and Concept of Their Further Human-Technological Development; using Regression and Algorithms in Artificial Intelligence to Predict the Price of Bitcoin; exploring Deep Learning in Road Traffic Accident Recognition for Roadside Sensing Technologies; integration of Human-Driven and Autonomous Vehicle: A Cell Reservation Intersection Control Strategy; equivalence Between Classical Epidemic Model and Quantum Tight-Binding Model; effects of Various Barricades on Human Crowd Movement Flow; the Classical Logic and the Continuous Logic; editor’s Preface.","","","","","Springer Science and Business Media Deutschland GmbH","","7th Future Technologies Conference, FTC 2022","2022-10-20 through 2022-10-21","Vancouver","285189","English","Conference review","Final","","Scopus","2-s2.0-85142006554"
"","","","7th Future Technologies Conference, FTC 2022","2023","Lecture Notes in Networks and Systems","559 LNNS","","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141668398&partnerID=40&md5=d315f62a67ade0595f3e0da7c4dfd8c4","The proceedings contain 180 papers. The special focus in this conference is on Future Technologies. The topics include: Pre-trained CNN Based SVM Classifier for Weld Joint Type Recognition; A Two-Stage Federated Transfer Learning Framework in Medical Images Classification on Limited Data: A COVID-19 Case Study; Graph Emotion Distribution Learning Using EmotionGCN; on the Role of Depth Predictions for 3D Human Pose Estimation; AI-Based QOS/QOE Framework for Multimedia Systems; snatch Theft Detection Using Deep Learning Models; deep Learning and Few-Shot Learning in the Detection of Skin Cancer: An Overview; enhancing Artificial Intelligence Control Mechanisms: Current Practices, Real Life Applications and Future Views; Face Generation from Skull Photo Using GAN and 3D Face Models; a General Framework of Particle Swarm Optimization; how Artificial Intelligence and Videogames Drive Each Other Forward; bezier Curve-Based Shape Knowledge Acquisition and Fusion for Surrogate Model Construction; Path Planning and Landing for Unmanned Aerial Vehicles Using AI; digital Ticketing System for Public Transport in Mexico to Avoid Cases of Contagion Using Artificial Intelligence; To the Question of the Practical Implementation of “Digital Immortality” Technologies: New Approaches to the Creation of AI; collaborative Forecasting Using “Slider-Swarms” Improves Probabilistic Accuracy; learning to Solve Sequential Planning Problems Without Rewards; systemic Analysis of Democracies and Concept of Their Further Human-Technological Development; using Regression and Algorithms in Artificial Intelligence to Predict the Price of Bitcoin; exploring Deep Learning in Road Traffic Accident Recognition for Roadside Sensing Technologies; integration of Human-Driven and Autonomous Vehicle: A Cell Reservation Intersection Control Strategy; equivalence Between Classical Epidemic Model and Quantum Tight-Binding Model; effects of Various Barricades on Human Crowd Movement Flow; the Classical Logic and the Continuous Logic; editor’s Preface.","","","","","Springer Science and Business Media Deutschland GmbH","","7th Future Technologies Conference, FTC 2022","2022-10-20 through 2022-10-21","Vancouver","285189","English","Conference review","Final","","Scopus","2-s2.0-85141668398"
"Vellingiri, S.; McMahan, R.P.; Johnson, V.; Prabhakaran, B.","Vellingiri, Shanthi (55969744500); McMahan, Ryan P. (18037514200); Johnson, Vinu (57195392847); Prabhakaran, Balakrishnan (6603723328)","55969744500; 18037514200; 57195392847; 6603723328","An augmented virtuality system facilitating learning through nature walk","2023","Multimedia Tools and Applications","82","1","","1553","1564","11","10.1007/s11042-022-13379-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133601120&doi=10.1007%2Fs11042-022-13379-w&partnerID=40&md5=80bb992a53029fd0a9fa93c7eb9640ff","Augmented Virtuality (AV), the augmentation of a virtual environment with real-world objects or information, provides unique educational opportunities, such as photorealistic avatars (using content generation sensors) that convey natural gestures and body language, frames of reference for scale comparisons, and embodied cognition. In this research, we focus on the use of AV technologies for educational tours, such as nature walks, which are guided educational tours to teach students how to identify trees. Because additional content generation and tracking sensors require additional costs and logistics for educational deployment, we conducted a between-subjects experiment comparing AV systems with rear-only and front-and-rear Kinect sensor arrangements. While prior research indicates comparable tracking accuracies for such sensor conditions, we found significant differences between the two conditions. More importantly, we found evidence indicating that the rear-only sensor condition altered participant behavior and caused some participants to prioritize completing the educational tour quickly over correctly identifying trees and their features on the tour. However, we also found that both conditions afforded significant learning improvements, based on pre and post knowledge tests. © 2022, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.","Augmented virtuality; Educational tours; Field trips; Knowledge acquisition; Nature walk; Photorealistic avatars; Sensor placements; Tree taxonomy; User study","E-learning; Virtual reality; Augmented virtualities; Condition; Educational tour; Field trips; Nature walk; Photo-realistic; Photorealistic avatar; Sensor placement; Tree taxonomy; User study; Forestry","","","Springer","","","","","","English","Article","Final","","Scopus","2-s2.0-85133601120"
"Du, W.; Zhong, X.; Jia, Y.; Jiang, R.; Yang, H.; Ye, Z.; Zong, Z.","Du, Wenqiong (57204087868); Zhong, Xin (57204092900); Jia, Yijun (57545482200); Jiang, Renqing (57546644300); Yang, Haoyang (57898483700); Ye, Zhao (57211161369); Zong, Zhaowen (14069416700)","57204087868; 57204092900; 57545482200; 57546644300; 57898483700; 57211161369; 14069416700","A Novel Scenario-Based, Mixed-Reality Platform for Training Nontechnical Skills of Battlefield First Aid: Prospective Interventional Study","2022","JMIR Serious Games","10","4","e40727","","","10","10.2196/40727","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145267772&doi=10.2196%2F40727&partnerID=40&md5=865bfe65a44462790715d97b66fc147e","Background: Although battlefield first aid (BFA) training shares many common features with civilian training, such as the need to address technical skills and nontechnical skills (NTSs), it is more highly scenario-dependent. Studies into extended reality show clear benefits in medical training; however, the training effects of extended reality on NTSs, including teamwork and decision-making in BFA, have not been fully proven. Objective: The current study aimed to create and test a scenario-based, mixed-reality platform suitable for training NTSs in BFA. Methods: First, using next-generation modeling technology and an animation synchronization system, a 10-person offensive battle drill was established. Decision-making training software addressing basic principles of tactical combat casualty care was constructed and integrated into the scenarios with Unreal Engine 4 (Epic Games). Large-space teamwork and virtual interaction systems that made sense in the proposed platform were developed. Unreal Engine 4 and software engineering technology were used to combine modules to establish a mixed-reality BFA training platform. A total of 20 Grade 4 medical students were recruited to accept BFA training with the platform. Pretraining and posttraining tests were carried out in 2 forms to evaluate the training effectiveness: one was knowledge acquisition regarding the NTS and the other was a real-world, scenario-based test. In addition, the students were asked to rate their agreement with a series of survey items on a 5-point Likert scale. Results: A battlefield geographic environment, tactical scenarios, scenario-based decision software, large-space teamwork, and virtual interaction system modules were successfully developed and combined to establish the mixed-reality training platform for BFA. The posttraining score of the students’ knowledge acquisition was significantly higher than that of pretraining (t=−12.114; P≤.001). Furthermore, the NTS score and the total score that the students obtained in the real-world test were significantly higher than those before training (t=−17.756 and t=−21.354, respectively; P≤.001). However, there was no significant difference between the scores of technical skills that the students obtained before and after training. A posttraining survey revealed that the students found the platform helpful in improving NTSs for BFA, and they were confident in applying BFA skills after training. However, most trainees thought that the platform was not helpful for improving the technical skills of BFA, and 45% (9/20) of the trainees were not satisfied with the simulation effect. Conclusions: A scenario-based, mixed-reality platform was constructed in this study. In this platform, interaction of the movement of multiple players in a large space and the interaction of decision-making by the trainees between the real world and the virtual world were accomplished. The platform could improve the NTSs of BFA. Future works, including improvement of the simulation effects and development of a training platform that could effectively improve both the technical skills and NTSs of BFA, will be carried out. © Wenqiong Du, Xin Zhong, Yijun Jia, Renqing Jiang, Haoyang Yang, Zhao Ye, Zhaowen Zong.","battlefield first aid; decision-making; medical education; mixed reality; next-generation modeling; nontechnical skills; team work; training; virtual reality","","","","JMIR Publications Inc.","","","","","","English","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85145267772"
"Park, J.; Fujii, S.","Park, Jooho (57561454200); Fujii, Sayaka (35723804100)","57561454200; 35723804100","Living Lab Participants’ Knowledge Change about Inclusive Smart Cities: An Urban Living Lab in Seongdaegol, Seoul, South Korea","2022","Smart Cities","5","4","","1376","1388","7","10.3390/smartcities5040070","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144315021&doi=10.3390%2Fsmartcities5040070&partnerID=40&md5=251f509dea889a1d4ad479eef99c164d","The emergence of smart cities has illuminated positive expectations, such as the solving of urban problems through information and communications technology (ICT). Behind the spotlight of the smart city, not everybody is enjoying the smart infrastructure owing to knowledge gaps such as the digital divide. Living labs provide a new platform for smart cities that can prevent the failure of urban development. They give citizens a better understanding of how to adapt to life in a smart city, enabling the development of smart cities that are more likely to succeed through a participatory approach. In this way, the competencies of participants may affect the success of a living lab. Nevertheless, there is a lack of research on improving participants’ knowledge through living labs. This study aims to examine how participation in an urban living lab influences the knowledge level of photovoltaic power generation and to identify the influencing factors. Our empirical study shows that the knowledge level of solar power technology improved through participation in a living lab. Additionally, the results indicate that the types of activity programs in the living lab were not associated with knowledge acquisition. © 2022 by the authors.","digital divide; knowledge gap; living lab; participatory approach; smart city","","","","MDPI","","","","","","English","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85144315021"
"Yao, J.; Yu, T.; Yang, S.; Pan, Z.; Li, Y.; Zhang, X.","Yao, Jianguo (17436675800); Yu, Tao T. (56454665900); Yang, Shengchun (59783437200); Pan, Zhenning (57195105695); Li, Yaping (49961873500); Zhang, Xiaoshun (56375323700)","17436675800; 56454665900; 59783437200; 57195105695; 49961873500; 56375323700","Knowledge Evolution Technology Based on Hybrid-augmented Intelligence for Improving Practicability of Artificial Intelligence in Power Grid Dispatch; 提 升 电 网 调 度 中 人 工 智 能 可 用 性 的 混 合 增 强 智 能 知 识 演 化 技 术","2022","Dianli Xitong Zidonghua/Automation of Electric Power Systems","46","20","","1","12","33","10.7500/AEPS20220110004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140396843&doi=10.7500%2FAEPS20220110004&partnerID=40&md5=64eb3a409786ece1a9e078eabea18df5","There has been a research upsurge of applying artificial intelligence (AI) to the decision-making of power systems dispatch. However, the defects of existing AI technologies in generalization, safety and interpretability have become the bottleneck that hinders its practical application. As one of five technological directions of the new generation AI, the hybrid-augmented intelligence introduces human cognition to AI systems, which forms a hybrid intelligence pattern together with machine intelligence. It is expected to offer an important methodology to break through the application bottleneck of current AI. This paper establishes a theoretical basis for promoting the current machine-aided dispatch mode to hybrid-augmented intelligent dispatch, and investigates the fundamental framework of hybrid-augmented intelligent dispatch which is further described as a mechanism and a method of human-machine collaborative knowledge evolution. Firstly, the existing research on applying AI to the power system dispatch is analyzed. Secondly, the connotation of collaborative knowledge evolution is clarified and its scientific problems are proposed. Thirdly, the realization idea of collaborative knowledge evolution is discussed and is further summarized as“one framework, two passageways, and one reasoning mechanism”. Finally, this paper investigates the four key technologies of collaborative knowledge evolution, including knowledge framework, knowledge acquisition, knowledge explanation, and knowledge reasoning. The research reference ideas and realization solutions for the four technologies are also provided. © 2022 Automation of Electric Power Systems Press. All rights reserved.","human-machine integration; hybrid-augmented intelligence; intelligent dispatch; knowledge evolution; machine learning","Decision making; Electric load dispatching; 'current; Collaborative knowledge; Evolution technology; Human-machine; Human-machine integration; Hybrid-augmented intelligence; Intelligent dispatches; Knowledge evolution; Machine-learning; Power system dispatch; Machine learning","","","Automation of Electric Power Systems Press","","","","","","Chinese","Article","Final","","Scopus","2-s2.0-85140396843"
"Lim, R.; Park, J.-H.","Lim, Gyoogun (57210834535); Park, Ji-hoon (57192682908)","57210834535; 57192682908","When is interorganizational learning beneficial for inbound open innovation of ventures? A contingent role of entrepreneurial orientation","2022","Technovation","116","","102514","","","61","10.1016/j.technovation.2022.102514","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126527402&doi=10.1016%2Fj.technovation.2022.102514&partnerID=40&md5=24714eacaacc6e96253606806879f180","Inbound open innovation for purposive knowledge acquisition and generation is a viable strategy for new ventures to fill out internal knowledge gaps through external innovation networks. However, the smallness and newness liabilities to which the firms are subject can restrict their potential to take increased innovation returns of inbound-oriented activities. Against this practical issue, we test assumptions that employing interorganizational learning (IOL) is beneficial for ventures to achieve better inbound open innovation performance and that the performing-by-learning mechanism is contingent on their entrepreneurial posture for productive knowledge utilization, referring to entrepreneurial orientation (EO). Findings from an analysis of 218 inbound open innovation projects of ventures demonstrate that firms showing higher exploitative and exploratory IOL practices enjoy greater technological and business performance, corresponding to the value creation and capture of inbound open innovation. Furthermore, EO serves as a significant moderator to leverage the advantages of exploratory learning for technological performance and exploitative learning for business performance. This study contributes to the literature by adding original findings that the entrepreneurial mode of interactions at the external innovation networks is essential for ventures to orchestrate the distinctive yet reciprocal functions of exploitative and exploratory learning in capitalizing on network-available knowledge. In practice, institutionalizing the IOL–EO nexus in the firms’ inbound-oriented activities legitimizes the contingent rationality for increased innovation returns in technology and business. © 2022 Elsevier Ltd","Entrepreneurial orientation; Inbound open innovation; Interorganizational learning; Knowledge exploitation; Knowledge exploration; Value capture; Value creation","Entrepreneurial orientation; Inbound open innovation; Innovation network; Interorganizational learning; Knowledge exploitation; Knowledge exploration; Open innovation; Technological performance; Value captures; Value creation; Commerce","","","Elsevier Ltd","","","","","","English","Article","Final","","Scopus","2-s2.0-85126527402"
